#blueprint activity materialType materialQuantity productType productQuantity
681 manufacturing 38 86 165 1
682 manufacturing 38 133 166 1
683 invention 20416 2 39581 1
683 invention 25887 2 39581 1
683 manufacturing 38 2 582 1
683 manufacturing 39 4 582 1
683 manufacturing 37 500 582 1
683 manufacturing 36 2444 582 1
683 manufacturing 35 8000 582 1
683 manufacturing 34 22222 582 1
684 invention 20411 2 11177 1
684 invention 25887 2 11177 1
684 invention 20411 2 11179 1
684 invention 25887 2 11179 1
684 manufacturing 34 20000 583 1
684 manufacturing 35 4444 583 1
684 manufacturing 36 2111 583 1
684 manufacturing 37 556 583 1
684 manufacturing 38 11 583 1
684 manufacturing 39 2 583 1
685 invention 20418 2 11195 1
685 invention 25887 2 11195 1
685 manufacturing 34 13333 584 1
685 manufacturing 35 12778 584 1
685 manufacturing 36 1667 584 1
685 manufacturing 37 222 584 1
685 manufacturing 38 56 584 1
685 manufacturing 39 22 584 1
685 manufacturing 40 6 584 1
686 invention 20416 8 11986 1
686 invention 25887 8 11986 1
686 manufacturing 34 544444 620 1
686 manufacturing 35 130000 620 1
686 manufacturing 36 31111 620 1
686 manufacturing 37 8778 620 1
686 manufacturing 38 1556 620 1
686 manufacturing 39 888 620 1
686 manufacturing 40 178 620 1
687 invention 20411 8 11994 1
687 invention 25887 8 11994 1
687 manufacturing 34 544444 621 1
687 manufacturing 35 122222 621 1
687 manufacturing 36 36667 621 1
687 manufacturing 37 10444 621 1
687 manufacturing 38 3333 621 1
687 manufacturing 39 1400 621 1
687 manufacturing 40 556 621 1
688 invention 20411 32 28711 1
688 invention 25887 32 28711 1
688 manufacturing 34 10608667 638 1
688 manufacturing 35 2652667 638 1
688 manufacturing 36 664444 638 1
688 manufacturing 37 165911 638 1
688 manufacturing 38 41422 638 1
688 manufacturing 39 19756 638 1
688 manufacturing 40 6288 638 1
689 invention 20411 2 11197 1
689 invention 20172 2 11197 1
689 invention 20411 2 11199 1
689 invention 20172 2 11199 1
689 manufacturing 34 21111 585 1
689 manufacturing 35 5000 585 1
689 manufacturing 36 1667 585 1
689 manufacturing 37 111 585 1
689 manufacturing 38 100 585 1
689 manufacturing 40 6 585 1
690 invention 20414 2 11183 1
690 invention 20172 2 11183 1
690 manufacturing 34 15556 586 1
690 manufacturing 35 10222 586 1
690 manufacturing 36 2778 586 1
690 manufacturing 37 111 586 1
690 manufacturing 38 78 586 1
690 manufacturing 39 34 586 1
690 manufacturing 40 6 586 1
691 invention 20424 2 11372 1
691 invention 20172 2 11372 1
691 invention 20424 2 11401 1
691 invention 20172 2 11401 1
691 manufacturing 34 22778 587 1
691 manufacturing 35 6222 587 1
691 manufacturing 36 2222 587 1
691 manufacturing 37 356 587 1
691 manufacturing 38 133 587 1
691 manufacturing 39 34 587 1
691 manufacturing 40 2 587 1
692 invention 20411 8 12000 1
692 invention 20172 8 12000 1
692 manufacturing 34 511111 622 1
692 manufacturing 35 188889 622 1
692 manufacturing 36 40000 622 1
692 manufacturing 37 10333 622 1
692 manufacturing 38 2778 622 1
692 manufacturing 39 1244 622 1
692 manufacturing 40 244 622 1
693 invention 20411 32 28666 1
693 invention 20172 32 28666 1
693 manufacturing 34 10321889 639 1
693 manufacturing 35 2581444 639 1
693 manufacturing 36 647667 639 1
693 manufacturing 37 161511 639 1
693 manufacturing 38 40278 639 1
693 manufacturing 39 19000 639 1
693 manufacturing 40 5466 639 1
784 manufacturing 11399 1 482 1
784 manufacturing 3689 8 482 1
784 manufacturing 483 1 482 1
784 manufacturing 11541 5 482 1
784 manufacturing 11689 3 482 1
784 manufacturing 11482 1 482 1
785 invention 20424 2 784 10
785 invention 20413 2 784 10
785 manufacturing 34 1324 483 1
785 manufacturing 35 481 483 1
785 manufacturing 36 119 483 1
786 invention 20423 1 2405 10
786 invention 20420 1 2405 10
786 manufacturing 34 471 499 1
786 manufacturing 35 716 499 1
788 invention 20423 2 2411 10
788 invention 20420 2 2411 10
788 manufacturing 34 3258 501 1
788 manufacturing 35 2926 501 1
788 manufacturing 36 107 501 1
790 invention 20423 3 2421 10
790 invention 20420 3 2421 10
790 manufacturing 40 22 503 1
790 manufacturing 34 122 503 1
790 manufacturing 35 1342 503 1
790 manufacturing 38 9 503 1
790 manufacturing 39 4 503 1
803 invention 20418 1 24536 10
803 invention 20420 1 24536 10
803 invention 20418 1 24540 10
803 invention 20420 1 24540 10
803 manufacturing 34 3084 202 100
803 manufacturing 35 472 202 100
803 manufacturing 36 68 202 100
803 manufacturing 39 4 202 100
804 invention 20418 1 24534 10
804 invention 20420 1 24534 10
804 invention 20418 1 24542 10
804 invention 20420 1 24542 10
804 manufacturing 34 1867 203 100
804 manufacturing 35 144 203 100
804 manufacturing 36 17 203 100
804 manufacturing 38 2 203 100
804 manufacturing 39 4 203 100
805 invention 20418 1 2622 10
805 invention 20420 1 2622 10
805 invention 20418 1 2638 10
805 invention 20420 1 2638 10
805 manufacturing 34 1842 204 100
805 manufacturing 35 707 204 100
805 manufacturing 39 4 204 100
806 invention 20418 1 24532 10
806 invention 20420 1 24532 10
806 invention 20418 1 24538 10
806 invention 20420 1 24538 10
806 manufacturing 34 1447 205 100
806 manufacturing 36 81 205 100
806 manufacturing 37 4 205 100
806 manufacturing 39 2 205 100
807 invention 20418 1 2656 10
807 invention 20420 1 2656 10
807 invention 20418 1 24508 10
807 invention 20420 1 24508 10
807 manufacturing 34 351 206 100
807 manufacturing 35 119 206 100
807 manufacturing 38 1 206 100
808 invention 20418 1 24510 10
808 invention 20420 1 24510 10
808 invention 20418 1 24518 10
808 invention 20420 1 24518 10
